Classifier,feature selection,underSampling,overSampling,cost sensitive,precision,recall,auc,kappa
ibk,true,true,false,false,0.30851063829787234,0.20714285714285716,0.6027201671567869,0.1588601846939601
ibk,true,true,false,false,0.3619047619047619,0.2620689655172414,0.6058411125928749,0.21266968325791863
ibk,true,true,false,false,0.34965034965034963,0.4098360655737705,0.6563438933108429,0.28856929169578616
ibk,true,true,false,false,0.2840909090909091,0.5136986301369864,0.6593105524612374,0.2284866468842729
ibk,true,true,false,false,0.3163265306122449,0.42758620689655175,0.6471467207572684,0.25738415216273797
ibk,true,true,false,false,0.2975778546712803,0.49710982658959535,0.6587437682410257,0.23288942982534067
ibk,true,true,false,false,0.3090909090909091,0.576271186440678,0.7001458847245431,0.2662408310813183
ibk,true,true,false,false,0.3185840707964602,0.7012987012987013,0.7667554131557643,0.3280747865532787
ibk,true,true,false,false,0.28690807799442897,0.64375,0.7488788994800694,0.27474492405032047
ibk,true,true,false,false,0.31,0.4946808510638298,0.6981801150809581,0.24744104442162998
ibk,true,true,false,false,0.28719723183391005,0.5123456790123457,0.7113507752567058,0.24829509915650644
ibk,true,true,false,false,0.27388535031847133,0.589041095890411,0.7291211129102793,0.26104771417111655
ibk,true,true,false,false,0.38783269961977185,0.5257731958762887,0.7607013278647452,0.3321108303782208
nb,true,true,false,false,0.75,0.0989010989010989,0.6914684216882019,0.1568981064021641
nb,true,true,false,false,0.509090909090909,0.2828282828282828,0.7326257224652947,0.316921251668397
nb,true,true,false,false,0.6956521739130435,0.11428571428571428,0.6956895217458597,0.16529500266740227
nb,true,true,false,false,0.5952380952380952,0.1724137931034483,0.7094570394360831,0.21892816419612265
nb,true,true,false,false,0.6111111111111112,0.18032786885245902,0.7675575000439266,0.23834433143769096
nb,true,true,false,false,0.6046511627906976,0.3561643835616438,0.7327299412915851,0.3852646898308167
nb,true,true,false,false,0.6024096385542169,0.3448275862068966,0.7636004056795132,0.382653694887187
nb,true,true,false,false,0.6666666666666666,0.28901734104046245,0.7370765526874637,0.34574527314433295
nb,true,true,false,false,0.6428571428571429,0.4067796610169492,0.7379963396196387,0.4359673024523162
nb,true,true,false,false,0.6097560975609756,0.487012987012987,0.8141597208761387,0.4872844444028139
nb,true,true,false,false,0.6770833333333334,0.40625,0.8353011265164645,0.4583464195979897
nb,true,true,false,false,0.6363636363636364,0.3351063829787234,0.6878070577889928,0.3769064412204794
nb,true,true,false,false,0.6304347826086957,0.35802469135802467,0.707436621547051,0.40291678011914167
nb,true,true,false,false,0.5535714285714286,0.4246575342465753,0.7813656080466155,0.4247432447546924
nb,true,true,false,false,0.638095238095238,0.34536082474226804,0.7477520947971086,0.383826243722368
rf,true,false,false,true,0.2631578947368421,0.4945054945054945,0.6780219780219781,0.2551181102362205
rf,true,false,false,true,0.20284697508896798,0.5757575757575758,0.6680926916221034,0.18452808036005483
rf,true,false,false,true,0.32,0.11428571428571428,0.5387246556260641,0.10648507740596898
rf,true,false,false,true,0.4027777777777778,0.2,0.5762430939226519,0.19336135671836485
rf,true,false,false,true,0.4157303370786517,0.30327868852459017,0.623772248871084,0.2805230749319275
rf,true,false,false,true,0.40298507462686567,0.3698630136986301,0.6409754628932711,0.2920265677133681
rf,true,false,false,true,0.3984375,0.35172413793103446,0.6381169709263016,0.2908605499688527
rf,true,false,false,true,0.4573170731707317,0.43352601156069365,0.6730498427155138,0.3537372723236699
rf,true,false,false,true,0.4388888888888889,0.4463276836158192,0.6757460014323228,0.3490257431375336
rf,true,false,false,true,0.4153846153846154,0.525974025974026,0.7129431148307356,0.38192010674928484
rf,true,false,false,true,0.37453183520599254,0.625,0.7401429809358753,0.37288862538316964
rf,true,false,false,true,0.4608695652173913,0.5638297872340425,0.7262095926287014,0.41398702928687314
rf,true,false,false,true,0.4270833333333333,0.5061728395061729,0.7048830893411671,0.37960777238168253
rf,true,false,false,true,0.4065934065934066,0.5068493150684932,0.7068327679742811,0.3734262302078441
rf,true,false,false,true,0.5117647058823529,0.4484536082474227,0.686873068750174,0.39385420231750834
ibk,true,false,false,true,0.3146067415730337,0.3076923076923077,0.6203296703296703,0.2430632630410653
ibk,true,false,false,true,0.29,0.29292929292929293,0.6084967320261437,0.21601798178161616
ibk,true,false,false,true,0.3333333333333333,0.02142857142857143,0.5074640148583811,0.024751871788126642
ibk,true,false,false,true,0.3333333333333333,0.020689655172413793,0.507029910459135,0.023194418253818416
ibk,true,false,false,true,0.6,0.07377049180327869,0.5336698118180381,0.1088198757763971
ibk,true,false,false,true,0.3181818181818182,0.0958904109589041,0.5314616889959356,0.08903467666354253
ibk,true,false,false,true,0.5333333333333333,0.1103448275862069,0.5483096686950643,0.1464326886127836
ibk,true,false,false,true,0.53125,0.19653179190751446,0.5835311218869595,0.22621605932578043
ibk,true,false,false,true,0.47619047619047616,0.1694915254237288,0.5692528049653856,0.1893479537889175
ibk,true,false,false,true,0.4675324675324675,0.23376623376623376,0.598884872809368,0.2523211876334248
ibk,true,false,false,true,0.3524590163934426,0.26875,0.6001462305025996,0.22311377101005125
ibk,true,false,false,true,0.4296875,0.2925531914893617,0.613482345969299,0.261667052354348
ibk,true,false,false,true,0.42574257425742573,0.2654320987654321,0.607299747892795,0.2559450260513282
ibk,true,false,false,true,0.425,0.2328767123287671,0.5965936624629168,0.2407482417056372
ibk,true,false,false,true,0.46153846153846156,0.27835051546391754,0.6108224224484304,0.2650620458914885
nb,true,false,false,true,0.8333333333333334,0.054945054945054944,0.5269230769230769,0.0928909952606626
