@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
22,278,203,2,1,37,284,142,281,3,3,false
1,63,24,1,1,37,64,64,64,0,0,false
9,143,88,1,1,37,143,143,143,0,0,false
4,100,55,1,1,37,100,100,100,0,0,false
75,684,401,2,1,37,684,342,683,2,2,false
5,82,31,1,1,37,82,82,82,0,0,false
17,190,136,1,1,37,190,190,190,0,0,false
20,184,95,1,1,37,184,184,184,0,0,false
6,74,31,2,1,37,74,37,73,1,1,false
4,82,38,1,1,37,82,82,82,0,0,false
1,39,13,1,1,37,39,39,39,0,0,false
25,259,152,1,1,37,259,259,259,0,0,false
1,39,5,1,1,37,39,39,39,0,0,false
145,944,680,2,1,37,944,472,943,2,2,false
44,400,239,2,1,37,402,201,401,1,1,false
1,62,10,1,1,37,62,62,62,0,0,false
1,78,13,1,1,37,78,78,78,0,0,false
194,1523,972,1,1,37,1523,1523,1523,0,0,false
39,232,189,1,1,37,232,232,232,0,0,false
9,206,108,2,1,37,212,106,209,3,3,false
12,186,130,2,2,37,187,93,180,4,4,false
75,689,452,2,1,37,695,347,692,3,3,false
43,493,348,1,1,37,493,493,493,0,0,false
1,53,15,1,1,37,53,53,53,0,0,false
55,602,427,2,1,37,602,301,601,2,2,false
63,442,318,2,1,37,446,223,444,2,2,false
3,95,65,1,1,37,95,95,95,0,0,false
29,846,637,3,2,37,848,282,847,9,6,false
8,151,118,1,1,37,151,151,151,0,0,false
3,92,61,1,1,37,93,93,93,0,0,false
1,42,19,1,1,37,42,42,42,0,0,false
1,35,10,1,1,37,35,35,35,0,0,false
7,144,109,1,1,37,144,144,144,0,0,false
404,3729,2673,6,2,37,3737,622,3721,32,10,false
42,592,519,1,1,37,592,592,592,0,0,false
4,93,60,1,1,37,93,93,93,0,0,false
11,171,107,1,1,37,171,171,171,0,0,false
2,58,34,1,1,37,58,58,58,0,0,false
13,159,114,1,1,37,159,159,159,0,0,false
30,310,253,2,2,37,310,155,309,3,3,false
17,253,182,1,1,37,253,253,253,0,0,false
7,115,82,1,1,37,115,115,115,0,0,false
5,112,80,1,1,37,112,112,112,0,0,false
6,189,119,2,2,37,190,95,151,1,1,false
57,403,307,1,1,37,403,403,403,0,0,false
1,39,6,1,1,37,39,39,39,0,0,false
1,72,16,2,2,37,72,36,71,4,4,false
46,912,674,4,2,37,916,229,900,28,16,false
19,533,407,3,2,37,535,178,534,6,5,false
8,166,115,1,1,37,166,166,166,0,0,false
141,1012,838,3,2,37,1026,342,1019,10,8,false
7,124,93,1,1,37,124,124,124,0,0,false
21,376,292,1,1,37,376,376,376,0,0,false
54,430,306,2,1,37,434,217,432,2,2,false
1,35,10,1,1,37,35,35,35,0,0,false
1,572,174,2,2,37,572,286,572,3,3,false
27,488,367,1,1,37,488,488,488,0,0,false
1,520,163,1,1,37,520,520,520,0,0,false
77,940,686,1,1,37,941,941,941,0,0,false
1,71,14,1,1,37,71,71,71,0,0,false
24,254,161,2,1,37,262,131,258,4,4,false
62,608,387,1,1,37,609,609,609,0,0,false
5,112,52,2,1,37,112,56,103,0,0,false
1,43,6,1,1,37,43,43,43,0,0,false
1,60,27,1,1,37,60,60,60,0,0,false
18,124,85,1,1,37,124,124,124,0,0,false
24,184,129,1,1,37,184,184,184,0,0,false
1,681,132,4,2,37,681,170,668,21,16,false
1,122,27,1,1,37,122,122,122,0,0,false
324,2834,2161,6,2,37,2841,473,2795,103,47,false
1,33,9,1,1,37,33,33,33,0,0,false
20,298,210,1,1,37,298,298,298,0,0,false
1,76,14,1,1,37,76,76,76,0,0,false
3,60,41,0,0,0,60,0,60,0,0,false
21,193,126,7,2,45,281,40,219,299,219,false
1,68,34,6,2,45,72,12,65,82,65,false
3,138,76,4,1,45,140,35,127,136,127,false
17,518,193,6,3,45,552,92,507,581,507,false
5,87,48,5,2,45,93,18,82,91,82,false
1,88,37,6,2,45,110,18,86,103,86,false
3,71,39,5,1,45,111,22,82,120,82,false
4,91,44,8,2,45,111,13,43,96,42,false
1,139,45,3,1,45,139,46,136,150,136,false
6,157,69,3,1,45,157,52,149,157,149,false
1,1364,251,8,3,45,1380,172,1324,1407,1324,false
35,1433,1144,13,3,45,1483,114,1352,1523,1352,false
8,140,96,6,2,45,142,23,58,77,58,false
1,63,15,4,2,45,73,18,65,77,68,false
11,127,78,9,2,45,168,18,123,158,123,false
5,139,75,4,1,45,139,34,132,137,132,false
1,46,19,3,1,45,46,15,41,44,41,false
52,439,292,5,2,45,441,88,403,410,403,false
32,319,206,7,2,45,325,46,307,325,307,false
5,55,29,5,1,45,59,11,50,56,50,false
2,150,74,4,2,45,150,37,136,148,140,false
1,137,60,4,2,45,137,34,133,137,133,false
1,258,34,4,2,45,282,70,242,286,242,false
1,74,14,3,1,45,74,24,71,84,74,false
6,87,53,3,1,45,87,29,81,83,81,false
1,32,6,3,1,45,32,10,28,29,28,false
4,232,180,3,1,45,232,77,216,220,216,false
5,145,95,3,1,45,145,48,137,139,137,false
22,242,171,6,2,45,254,42,226,248,226,false
81,592,470,9,4,45,643,71,563,620,563,false
53,333,262,5,2,45,377,75,307,356,307,false
30,216,157,4,1,45,242,60,211,242,211,false
1,62,18,3,1,45,62,20,58,66,58,false
1,30,4,3,1,45,30,10,27,29,27,false
1,135,18,4,1,45,143,35,130,155,130,false
41,672,485,7,2,45,700,100,644,682,644,true
43,465,336,4,2,45,465,116,432,436,432,false
2,64,24,3,1,45,64,21,58,61,58,false
1,49,14,3,1,45,49,16,45,50,45,false
1,30,4,3,1,45,30,10,27,29,27,false
16,173,120,4,1,45,183,45,160,181,160,false
2,79,38,3,1,45,83,27,74,82,74,false
1,56,23,4,1,45,58,14,52,57,52,false
1,36,6,3,1,45,36,12,32,36,32,false
1,46,21,3,1,45,46,15,41,42,41,false
1,48,22,3,1,45,48,16,43,44,43,false
144,1455,1076,6,2,45,1475,245,1336,1384,1336,false
44,529,323,6,2,45,547,91,492,530,492,false
1,138,25,3,1,45,138,46,135,139,135,false
27,529,374,4,1,45,531,132,498,508,498,false
1,72,13,3,1,45,72,24,69,72,69,false
1,24,4,3,1,45,24,8,20,22,20,false
1,72,13,3,1,45,72,24,69,72,69,false
41,1067,874,8,4,45,1117,139,1024,1149,1024,false
280,3525,2625,16,4,45,3637,227,3202,3487,3202,false
8,254,131,4,2,45,260,65,247,271,247,false
1,91,41,3,1,45,91,30,87,88,87,false
1,281,70,3,1,45,283,94,277,282,277,false
1,81,42,3,1,45,81,27,77,80,77,false
4,67,32,3,1,45,67,22,63,65,63,false
1,70,33,3,1,45,70,23,67,72,67,false
1,34,5,3,1,45,34,11,31,33,31,false
4,69,33,4,1,45,71,17,63,68,63,false
1,33,4,3,1,45,33,11,30,33,30,false
1,50,8,3,1,45,50,16,47,50,47,false
1,35,5,3,1,45,35,11,32,34,32,false
1,35,5,3,1,45,35,11,32,34,32,false
1,34,5,3,1,45,34,11,31,33,31,false
1,45,7,3,1,45,45,15,42,45,42,false
1,70,9,3,1,45,70,23,67,77,67,false
1,39,14,3,1,45,41,13,35,38,35,false
1,40,5,3,1,45,40,13,37,41,37,false
30,271,171,5,1,45,291,58,255,301,255,false
1,36,6,3,1,45,36,12,33,34,33,false
1,185,60,3,1,45,185,61,164,173,164,false
103,583,439,5,1,45,593,118,553,570,553,false
1,28,5,3,1,45,28,9,25,27,25,false
1,35,5,3,1,45,35,11,32,34,32,false
12,104,58,4,1,45,112,28,103,114,103,false
6,110,58,4,1,45,114,28,103,112,103,false
1,34,10,3,1,45,34,11,30,32,30,false
1,40,6,3,1,45,40,13,37,42,37,false
